Script Name,Code,Number,Unnamed: 3,*ISO-15924 script codes: https://www.iso.org/standard/29546.html
Syriac (Estrangelo variant),Syre,138,,
Syriac (Western variant),Syrj,137,,
Syriac (Eastern variant),Syrn,136,,
Tagbanwa,Tagb,373,,
"Takri, Ṭākrī, Ṭāṅkrī",Takr,321,,
Tai Le,Tale,353,,
New Tai Lue,Talu,354,,
Tamil,Taml,346,,
Tangut,Tang,520,,
Tai Viet,Tavt,359,,
Telugu,Telu,340,,
Tengwar,Teng,290,,
Tifinagh (Berber),Tfng,120,,
"Tagalog (Baybayin, Alibata)",Tglg,370,,
Thaana,Thaa,170,,
Thai,Thai,352,,
Tibetan,Tibt,330,,
Tirhuta,Tirh,326,,
Ugaritic,Ugar,40,,
Vai,Vaii,470,,
Visible Speech,Visp,280,,
Warang Citi (Varang Kshiti),Wara,262,,
Wancho,Wcho,283,,
Woleai,Wole,480,,
Old Persian,Xpeo,30,,
"Cuneiform, Sumero-Akkadian",Xsux,20,,
Yi,Yiii,460,,
"Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)",Zanb,339,,
Code for inherited script,Zinh,994,,
Mathematical notation,Zmth,995,,
Symbols,Zsym,996,,
Symbols (emoji variant),Zsye,993,,
Code for unwritten documents,Zxxx,997,,
Code for undetermined script,Zyyy,998,,
Code for uncoded script,Zzzz,999,,
